timestamp,dxy_value,date,datetime,description,dxy_ma_20,dxy_ma_50,dxy_ma_200
1735880400,108.94999694824219,2025-01-02,2025-01-02 23:00:00,U.S. Dollar Index (DXY),107.50849990844726,106.31039978027344,104.44285018920898
1736139600,108.26000213623047,2025-01-05,2025-01-05 23:00:00,U.S. Dollar Index (DXY),107.63600006103516,106.38699981689453,104.4671001815796
1736226000,108.54000091552734,2025-01-06,2025-01-06 23:00:00,U.S. Dollar Index (DXY),107.76450004577637,106.4765998840332,104.48980018615723
1736312400,109.08999633789062,2025-01-07,2025-01-07 23:00:00,U.S. Dollar Index (DXY),107.91149978637695,106.5731997680664,104.5131001663208
1736398800,109.18000030517578,2025-01-08,2025-01-08 23:00:00,U.S. Dollar Index (DXY),108.0504997253418,106.67039978027344,104.53785015106202
1736485200,109.6500015258789,2025-01-09,2025-01-09 23:00:00,U.S. Dollar Index (DXY),108.1974998474121,106.77779983520507,104.56465015411376
1736744400,109.95999908447266,2025-01-12,2025-01-12 23:00:00,U.S. Dollar Index (DXY),108.34749984741211,106.89719985961914,104.59270015716552
1736830800,109.2699966430664,2025-01-13,2025-01-13 23:00:00,U.S. Dollar Index (DXY),108.46099967956543,107.0029997253418,104.61630012512207
1736917200,109.08999633789062,2025-01-14,2025-01-14 23:00:00,U.S. Dollar Index (DXY),108.57249946594239,107.09919967651368,104.6366501235962
1737003600,108.95999908447266,2025-01-15,2025-01-15 23:00:00,U.S. Dollar Index (DXY),108.67249946594238,107.20059967041016,104.65735012054444
1737090000,109.3499984741211,2025-01-16,2025-01-16 23:00:00,U.S. Dollar Index (DXY),108.73849945068359,107.31919967651368,104.68285011291503
1737435600,108.05999755859375,2025-01-20,2025-01-20 23:00:00,U.S. Dollar Index (DXY),108.72099914550782,107.37859970092774,104.7025500869751
1737522000,108.16999816894531,2025-01-21,2025-01-21 23:00:00,U.S. Dollar Index (DXY),108.74849891662598,107.45179962158203,104.72190006256103
1737608400,108.05000305175781,2025-01-22,2025-01-22 23:00:00,U.S. Dollar Index (DXY),108.7489990234375,107.51279968261719,104.74145008087159
1737694800,107.44000244140625,2025-01-23,2025-01-23 23:00:00,U.S. Dollar Index (DXY),108.70799903869629,107.55079971313477,104.75790008544922
1737954000,107.33999633789062,2025-01-26,2025-01-26 23:00:00,U.S. Dollar Index (DXY),108.66849899291992,107.57719970703126,104.76835006713867
1738040400,107.87000274658203,2025-01-27,2025-01-27 23:00:00,U.S. Dollar Index (DXY),108.66199913024903,107.60499969482422,104.7813000869751
1738126800,108.0,2025-01-28,2025-01-28 23:00:00,U.S. Dollar Index (DXY),108.65549926757812,107.6315997314453,104.79110008239746
1738213200,107.80000305175781,2025-01-29,2025-01-29 23:00:00,U.S. Dollar Index (DXY),108.62099952697754,107.65379974365234,104.79905010223389
1738299600,108.37000274658203,2025-01-30,2025-01-30 23:00:00,U.S. Dollar Index (DXY),108.56999969482422,107.69559982299805,104.80960010528564
1738558800,108.98999786376953,2025-02-02,2025-02-02 23:00:00,U.S. Dollar Index (DXY),108.57199974060059,107.75119979858398,104.82480010986328
1738645200,107.95999908447266,2025-02-03,2025-02-03 23:00:00,U.S. Dollar Index (DXY),108.5569995880127,107.77679977416992,104.83385009765625
1738731600,107.58000183105469,2025-02-04,2025-02-04 23:00:00,U.S. Dollar Index (DXY),108.50899963378906,107.78899978637695,104.84100009918212
1738818000,107.69000244140625,2025-02-05,2025-02-05 23:00:00,U.S. Dollar Index (DXY),108.43899993896484,107.79299987792969,104.84905010223389
1738904400,108.04000091552734,2025-02-06,2025-02-06 23:00:00,U.S. Dollar Index (DXY),108.38199996948242,107.81739990234375,104.86080009460449
